carat,cut,color,clarity,depth,table,x,y,z,price,volume
0.77,Premium,E,VS1,60.8,56.0,5.95,5.9,3.6,3260,126.37800000000001
0.35,Very Good,D,VS1,59.9,56.0,4.61,4.64,2.77,846,59.251408
1.21,Premium,J,VVS2,61.7,60.0,6.82,6.85,4.22,5431,197.14574
1.01,Very Good,G,SI1,62.8,56.0,6.35,6.43,4.01,5049,163.73030499999996
0.51,Premium,I,SI1,61.3,58.0,5.16,5.11,3.15,1084,83.05794
1.26,Ideal,J,SI1,62.0,56.0,6.9,6.93,4.29,5301,205.13493
1.55,Good,H,VS2,61.0,61.0,7.42,7.47,4.54,11364,251.640396
0.9,Good,G,SI2,63.8,59.0,6.05,6.02,3.85,3246,140.22085
1.58,Premium,F,SI2,62.3,60.0,7.42,7.38,4.61,9290,252.44175600000003
0.43,Premium,F,SI1,60.5,60.0,4.88,4.84,2.94,1016,69.440448
0.3,Ideal,G,VVS1,61.7,54.0,4.32,4.34,2.67,764,50.059295999999996
2.0,Good,I,SI1,63.9,57.0,8.01,7.91,5.09,12554,322.497819
1.01,Premium,F,I1,62.6,57.0,6.42,6.3,3.99,2257,161.37954
0.43,Premium,F,VS1,62.5,58.0,4.85,4.78,3.01,1129,69.78083
0.52,Ideal,G,VVS2,61.7,55.0,5.21,5.23,3.22,2338,87.73952600000001
0.73,Very Good,E,SI2,62.1,58.0,5.75,5.81,3.59,2395,119.932925
0.52,Ideal,D,VS2,61.8,55.0,5.16,5.19,3.2,1822,85.69728000000002
0.5,Premium,F,SI2,58.0,62.0,5.21,5.18,3.01,1031,81.233278
1.14,Premium,G,VS2,61.4,60.0,6.71,6.68,4.11,7079,184.221708
0.78,Premium,F,SI1,62.4,58.0,5.83,5.8,3.63,2777,122.74481999999999
0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,943,70.36477
0.91,Very Good,G,SI2,62.9,54.0,6.14,6.22,3.89,3615,148.562212
1.02,Very Good,F,VS1,62.4,58.0,6.42,6.47,4.02,7587,166.98034799999996
0.52,Good,E,SI1,63.7,54.0,5.12,5.15,3.27,1388,86.22336000000001
1.21,Ideal,I,VVS1,61.6,55.0,6.88,6.8,4.21,7086,196.96063999999998
0.5,Good,E,VS2,64.9,59.0,4.89,4.94,3.19,1389,77.059554
1.01,Premium,G,VVS2,61.7,59.0,6.44,6.37,3.95,7466,162.04006
0.51,Ideal,F,VVS2,62.6,57.0,5.13,5.1,3.2,2203,83.7216
0.27,Premium,E,VS1,61.5,58.0,4.22,4.17,2.58,603,45.401292000000005
1.8,Very Good,E,SI1,62.2,57.0,7.81,7.89,4.88,17273,300.70999199999994
0.3,Ideal,F,VS1,61.9,55.0,4.28,4.3,2.66,673,48.954640000000005
1.13,Premium,H,SI1,60.9,59.0,6.79,6.7,4.11,5050,186.97623000000002
0.38,Premium,I,VS2,61.7,59.0,4.64,4.6,2.85,812,60.8304
0.54,Premium,F,SI1,59.7,59.0,5.36,5.3,3.18,1369,90.33744000000002
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,405,49.22775000000001
0.51,Ideal,D,SI2,59.8,55.0,5.23,5.17,3.11,1359,84.091601
0.32,Premium,J,SI1,62.2,59.0,4.37,4.41,2.73,365,52.61174100000001
0.57,Ideal,F,VVS1,61.1,55.0,5.36,5.44,3.3,3057,96.22272000000001
0.44,Ideal,I,VVS2,60.8,56.0,4.9,4.93,2.99,912,72.22943000000001
0.52,Ideal,F,VS2,62.5,56.0,5.12,5.16,3.21,1629,84.805632
0.7,Premium,E,VS1,58.4,59.0,5.91,5.83,3.43,2854,118.181679
0.57,Very Good,G,SI2,59.4,58.0,5.39,5.42,3.21,1214,93.776298
1.22,Ideal,G,VS2,62.0,57.0,6.88,6.83,4.25,8062,199.7092
0.59,Ideal,E,SI1,62.0,55.0,5.37,5.4,3.34,1664,96.85332
0.51,Ideal,G,VS2,62.0,56.0,5.11,5.18,3.19,1343,84.438662
1.2,Premium,G,SI1,62.2,58.0,6.8,6.7,4.2,5154,191.352
2.16,Premium,H,SI2,62.3,57.0,8.29,8.22,5.14,11473,350.25913199999997
0.31,Very Good,G,VS1,60.5,57.0,4.39,4.42,2.67,640,51.808145999999994
0.4,Ideal,H,VVS2,61.4,55.7,4.72,4.77,2.92,905,65.742048
1.68,Ideal,I,VS2,62.1,57.0,7.6,7.54,4.7,10800,269.3288
0.9,Very Good,D,SI2,63.5,58.0,6.08,6.17,3.89,3918,145.92790399999998
0.43,Very Good,E,VS2,62.2,58.0,4.81,4.87,3.01,869,70.50834699999999
0.76,Ideal,H,VS2,61.9,55.0,5.85,5.88,3.64,3016,125.20871999999999
0.74,Ideal,E,SI2,61.8,59.0,5.92,5.97,3.52,2501,124.40524799999999
1.26,Ideal,J,VS2,63.2,57.0,6.86,6.81,4.32,5306,201.81571200000002
0.41,Very Good,I,VVS2,63.1,56.0,4.75,4.72,2.99,1061,67.0358
0.3,Ideal,H,VVS1,61.8,55.0,4.34,4.37,2.69,665,51.018002
0.5,Ideal,F,VVS2,62.3,57.0,5.06,5.08,3.16,1850,81.227168
0.54,Ideal,E,SI1,62.1,56.0,5.24,5.19,3.24,1637,88.11374400000001
0.4,Very Good,D,VVS2,59.4,61.0,4.77,4.82,2.85,977,65.52549
1.51,Very Good,H,SI1,61.7,61.0,7.3,7.35,4.52,9218,242.52059999999994
0.5,Very Good,E,VVS2,60.9,59.0,5.07,5.11,3.1,2003,80.31387000000001
0.33,Ideal,E,VS1,60.9,57.0,4.47,4.5,2.73,850,54.91394999999999
0.9,Ideal,G,VVS1,61.6,57.0,6.24,6.16,3.82,5564,146.834688
0.72,Very Good,I,SI1,63.2,57.0,5.71,5.75,3.62,2345,118.85365000000002
0.51,Ideal,G,VS2,61.8,55.0,5.15,5.18,3.19,1557,85.09962999999999
0.5,Good,G,SI1,63.9,57.0,5.02,5.06,3.22,1197,81.79186399999999
1.02,Fair,J,SI1,66.8,55.0,6.25,6.18,4.15,3027,160.29375000000002
0.7,Fair,E,SI1,65.2,58.0,5.57,5.54,3.62,2318,111.70523600000001
1.69,Ideal,F,VS2,62.2,57.0,7.59,7.66,4.74,16789,275.580756
1.3,Premium,G,VVS1,60.5,60.0,7.01,7.05,4.25,11061,210.03712499999997
0.31,Ideal,D,VS1,61.1,55.0,4.37,4.4,2.68,774,51.531040000000004
1.22,Ideal,G,VS1,60.7,57.0,6.93,6.94,4.21,9002,202.476582
1.0,Premium,F,VVS2,60.6,54.0,6.56,6.52,3.96,8924,169.37395199999997
0.28,Very Good,G,SI1,62.0,55.0,4.2,4.25,2.62,382,46.767
1.01,Good,E,SI1,64.3,59.0,6.31,6.34,4.07,4766,162.821978
0.41,Very Good,H,VVS2,62.0,56.0,4.77,4.81,2.97,873,68.142789
0.55,Very Good,E,SI1,59.7,60.0,5.31,5.41,3.2,1559,91.92672
1.39,Premium,G,VS2,62.0,56.0,7.18,7.14,4.44,8874,227.61748799999998
0.36,Very Good,H,SI2,61.2,55.0,4.59,4.62,2.81,475,59.588298
0.23,Very Good,E,VVS2,60.0,56.0,4.03,4.07,2.43,530,39.857103
1.37,Premium,G,VS2,61.6,59.0,7.11,7.04,4.36,7951,218.237184
0.31,Ideal,E,VVS1,60.2,61.0,4.4,4.43,2.66,865,51.84872000000001
0.81,Premium,F,SI1,61.9,59.0,5.97,5.95,3.69,3043,131.074335
1.0,Premium,F,SI1,61.8,59.0,6.4,6.36,4.0,5292,162.81600000000003
0.31,Ideal,G,VVS1,61.2,56.0,4.38,4.34,2.67,1046,50.754563999999995
2.02,Very Good,J,SI2,62.4,55.0,8.05,8.11,5.04,11757,329.03892
0.34,Ideal,H,IF,61.7,56.0,4.5,4.51,2.78,863,56.42009999999999
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,789,49.454299999999996
1.68,Premium,F,SI1,60.7,62.0,7.72,7.66,4.67,12681,276.161384
0.77,Ideal,E,SI2,60.7,55.0,6.01,5.95,3.63,2834,129.806985
2.8,Premium,I,SI2,61.1,59.0,9.03,8.98,5.5,15030,445.9917
0.9,Premium,I,VS2,61.2,62.0,6.19,6.13,3.77,3338,143.051519
0.76,Very Good,E,SI1,63.0,59.0,5.76,5.8,3.64,2668,121.60512000000001
0.55,Premium,G,SI2,60.3,58.0,5.35,5.33,3.22,1186,91.81991000000001
0.31,Fair,G,VVS2,65.5,58.0,4.25,4.24,2.78,629,50.0956
0.4,Premium,D,SI2,60.4,59.0,4.8,4.83,2.91,666,67.46544
1.56,Premium,G,VS2,61.9,58.0,7.44,7.4,4.59,13299,252.70704
0.3,Ideal,G,VVS2,62.7,57.0,4.26,4.29,2.68,684,48.978072
0.31,Ideal,E,VS1,61.8,56.0,4.34,4.33,2.68,942,50.363096000000006
0.31,Ideal,E,VVS1,61.3,56.0,4.38,4.4,2.69,1105,51.841680000000004
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,526,48.47304
2.2,Ideal,G,SI2,59.9,57.0,8.54,8.49,5.1,14691,369.77345999999994
0.73,Very Good,E,VS1,62.1,60.0,5.71,5.79,3.57,3353,118.02741299999998
0.9,Good,H,VS2,61.5,61.0,6.15,6.24,3.81,4156,146.21256000000002
0.75,Ideal,F,VS2,62.1,57.0,5.8,5.82,3.61,3081,121.85916
0.5,Very Good,D,SI1,60.3,59.0,5.11,5.14,3.09,1415,81.16008599999999
0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,1150,66.29860000000001
0.41,Ideal,D,VVS2,62.3,57.0,4.76,4.74,2.96,1356,66.784704
0.41,Premium,E,VS1,62.3,59.0,4.74,4.76,2.96,1079,66.784704
0.36,Premium,J,SI1,61.3,60.0,4.59,4.52,2.79,541,57.883571999999994
1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,17009,278.3376
1.02,Premium,H,SI1,60.3,59.0,6.5,6.44,3.9,4558,163.254
0.59,Very Good,F,SI1,61.7,57.0,5.39,5.43,3.34,1412,97.75411799999999
0.9,Very Good,D,VS2,63.0,62.0,6.06,6.13,3.84,4668,142.647552
1.11,Premium,E,SI2,61.8,61.0,6.66,6.61,4.09,4177,180.052434
0.9,Very Good,F,SI1,62.5,62.0,6.08,6.11,3.81,3950,141.53692800000002
0.92,Very Good,E,VS1,60.9,61.0,6.22,6.25,3.8,5453,147.725
1.45,Very Good,J,VS2,62.8,57.0,7.14,7.17,4.49,6671,229.860162
1.16,Ideal,I,VS2,61.5,57.0,6.78,6.75,4.16,5302,190.38240000000002
1.01,Premium,E,SI2,61.6,56.0,6.45,6.4,3.96,4751,163.46880000000002
0.7,Ideal,D,VVS2,60.9,59.0,5.69,5.73,3.48,3737,113.46087600000001
0.32,Ideal,G,IF,61.4,55.0,4.42,4.44,2.72,898,53.379456000000005
0.91,Very Good,G,SI2,60.0,57.0,6.27,6.32,3.78,3531,149.78779199999997
0.58,Ideal,D,SI2,62.7,56.0,5.32,5.3,3.33,1442,93.89268000000001
0.51,Ideal,E,SI1,62.4,55.0,5.14,5.09,3.19,1443,83.458694
0.31,Ideal,F,VS2,62.6,57.0,4.27,4.33,2.69,625,49.73567899999999
0.97,Ideal,G,SI2,62.7,57.0,6.31,6.28,3.95,4101,156.52586
1.03,Ideal,J,SI2,62.4,56.0,6.44,6.48,4.03,4054,168.17673600000003
0.3,Good,E,VVS2,59.8,64.0,4.34,4.29,2.58,814,48.035988
1.0,Very Good,F,VS2,61.8,55.0,6.39,6.44,3.99,6340,164.19488400000003
0.5,Very Good,E,VS1,63.9,55.0,4.98,5.03,3.2,1604,80.15808000000001
0.59,Ideal,I,VVS1,61.2,56.0,5.42,5.46,3.33,2049,98.545356
0.26,Very Good,E,VS2,60.4,58.0,4.15,4.19,2.52,452,43.81902000000001
1.0,Good,D,VS1,64.0,58.0,6.27,6.21,3.99,6250,155.357433
0.9,Very Good,D,SI1,61.0,63.0,6.13,6.1,3.73,4304,139.47589
0.31,Ideal,D,SI1,62.0,55.0,4.36,4.38,2.71,571,51.752328000000006
1.53,Very Good,F,SI1,58.5,59.0,7.55,7.62,4.44,11713,255.43764000000002
0.81,Ideal,F,SI1,61.9,57.0,5.98,6.01,3.71,2977,133.336658
0.32,Very Good,F,VS2,61.4,58.0,4.37,4.42,2.7,556,52.15158
0.7,Very Good,F,SI1,60.3,57.0,5.73,5.77,3.47,2343,114.72548700000002
1.0,Fair,F,VS2,68.3,58.0,5.98,5.95,4.08,4312,145.17048000000003
0.34,Very Good,G,VS1,60.4,61.0,4.48,4.53,2.72,686,55.20076800000001
0.71,Ideal,G,SI1,62.5,57.0,5.72,5.64,3.55,2215,114.52583999999997
0.5,Fair,E,SI1,66.5,58.0,4.87,4.9,3.25,1098,77.55475000000001
0.32,Ideal,E,VVS2,62.0,54.0,4.41,4.43,2.74,790,53.52946200000001
1.63,Ideal,I,SI1,61.3,56.0,7.64,7.56,4.66,9694,269.154144
0.96,Ideal,F,VS1,61.2,56.0,6.34,6.38,3.89,5767,157.347388
1.24,Premium,H,SI2,61.2,57.0,7.02,6.87,4.25,5694,204.96644999999998
0.51,Very Good,H,VS1,62.3,57.0,5.1,5.12,3.18,1628,83.03616
0.4,Good,H,VS2,63.1,62.0,4.75,4.66,2.97,717,65.74095000000001
1.21,Very Good,I,SI1,63.3,60.0,6.76,6.69,4.26,4404,192.655944
0.43,Ideal,E,SI1,61.8,56.0,4.82,4.79,3.01,975,69.494278
0.72,Ideal,F,SI1,61.7,55.0,5.74,5.77,3.55,2470,117.57528999999998
0.75,Very Good,I,SI1,63.7,56.0,5.73,5.77,3.66,2300,121.00728600000001
0.42,Ideal,G,VVS2,60.6,56.0,4.86,4.88,2.95,933,69.96456
0.9,Ideal,E,SI1,61.7,57.0,6.21,6.24,3.84,4940,148.801536
0.32,Ideal,D,VS2,61.7,54.0,4.38,4.43,2.72,758,52.777248
0.39,Premium,E,VS2,62.5,60.0,4.64,4.67,2.91,889,63.056208
1.01,Very Good,I,SI2,63.2,58.0,6.34,6.31,4.0,3309,160.02159999999998
0.61,Ideal,F,VVS2,61.7,55.0,5.45,5.48,3.37,2833,100.64842000000002
0.54,Ideal,F,VVS2,61.8,55.0,5.27,5.25,3.25,2333,89.91937499999999
0.71,Ideal,E,VS2,62.0,55.0,5.72,5.77,3.56,3421,117.49566399999999
1.01,Very Good,G,VS1,58.8,58.0,6.52,6.61,3.86,6777,166.355192
0.24,Ideal,F,VVS2,61.6,54.0,4.0,4.09,2.49,552,40.7364
0.24,Ideal,F,VVS1,61.8,55.0,4.0,4.03,2.48,678,39.9776
0.58,Premium,F,VS2,62.2,55.0,5.4,5.31,3.33,1586,95.48442
1.01,Good,E,SI2,63.7,55.0,6.38,6.31,4.05,4118,163.04408999999998
0.9,Very Good,J,SI1,63.6,57.0,6.07,6.1,3.87,3225,143.29449
0.72,Ideal,G,SI2,61.5,55.0,5.79,5.82,3.57,2420,120.301146
0.7,Very Good,G,VS2,63.1,55.0,5.64,5.61,3.55,2657,112.32342
2.01,Premium,G,SI2,59.4,58.0,8.19,8.15,4.85,15562,323.73022499999996
0.51,Very Good,G,VS2,62.4,62.0,5.07,5.09,3.17,1438,81.805971
1.2,Premium,E,VS2,62.2,59.0,6.82,6.78,4.23,8602,195.59350800000004
1.24,Ideal,G,VS2,62.0,57.0,6.87,6.84,4.25,9188,199.7109
1.26,Very Good,G,SI1,63.2,61.0,6.87,6.81,4.32,7000,202.10990400000003
0.33,Ideal,F,VS2,61.3,56.0,4.43,4.47,2.73,666,54.059733
0.58,Ideal,E,SI1,61.6,55.0,5.33,5.38,3.3,1636,94.62881999999999
0.41,Ideal,G,VS1,61.9,57.0,4.81,4.76,2.96,961,67.77097599999999
1.19,Ideal,G,VVS2,60.8,59.0,6.84,6.81,4.15,9524,193.30866
0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,3445,148.112226
1.52,Premium,I,SI1,61.9,58.0,7.42,7.37,4.58,8631,250.459132
1.5,Very Good,F,VS1,60.5,55.0,7.39,7.48,4.5,15585,248.7474
1.22,Ideal,I,SI1,62.3,58.0,6.8,6.82,4.24,6398,196.63424
0.3,Very Good,G,IF,62.9,58.0,4.21,4.25,2.66,895,47.594049999999996
1.0,Very Good,E,VS1,63.0,56.0,6.39,6.41,4.03,7453,165.068397
0.24,Very Good,H,VVS2,61.4,57.0,4.02,4.04,2.47,449,40.114776000000006
1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,6787,161.58269399999998
1.7,Ideal,J,SI2,60.5,57.0,7.74,7.84,4.71,8505,285.810336
0.55,Premium,E,VS2,61.4,57.0,5.29,5.27,3.24,1881,90.325692
0.34,Very Good,E,SI1,60.3,57.0,4.53,4.56,2.74,596,56.59963200000001
0.44,Ideal,D,VVS1,61.0,57.0,4.91,4.93,3.0,2290,72.6189
0.79,Ideal,D,SI1,61.1,57.0,5.94,6.0,3.65,3209,130.086
0.67,Good,F,VS1,59.8,60.3,5.62,5.69,3.38,2479,108.084964
0.31,Premium,H,SI1,61.0,61.0,4.39,4.33,2.66,558,50.563142
1.22,Ideal,H,SI1,61.9,55.0,6.82,6.87,4.24,7870,198.65841600000002
1.5,Good,H,SI2,59.8,61.0,7.39,7.49,4.45,6798,246.312395
0.9,Ideal,G,SI2,62.5,56.0,6.15,6.2,3.86,3521,147.1818
0.38,Ideal,F,VS2,62.2,54.0,4.64,4.66,2.89,870,62.488736
1.01,Ideal,G,VS1,61.8,57.0,6.45,6.4,3.97,6618,163.88160000000002
0.3,Ideal,F,VVS2,61.7,56.0,4.32,4.34,2.67,694,50.059295999999996
0.71,Good,E,SI2,58.8,63.0,5.75,5.88,3.42,2120,115.6302
1.21,Premium,H,IF,62.2,58.0,6.83,6.8,4.24,8446,196.92256000000003
1.0,Ideal,F,VS2,62.6,57.0,6.4,6.35,3.99,6804,162.1536
0.9,Very Good,D,SI2,60.3,63.0,6.12,6.22,3.72,3534,141.607008
0.91,Very Good,H,VS1,63.4,56.0,6.18,6.12,3.9,4224,147.50423999999998
0.41,Ideal,D,VVS2,62.5,57.0,4.75,4.72,2.96,1181,66.36319999999999
0.39,Ideal,E,SI1,61.1,55.0,4.74,4.75,2.9,628,65.2935
1.28,Premium,H,SI2,60.2,58.0,7.13,7.03,4.26,6093,213.52781399999998
0.32,Very Good,G,VS2,60.9,58.0,4.42,4.45,2.7,564,53.106300000000005
0.25,Good,D,VVS2,57.5,61.0,4.16,4.19,2.4,548,41.83296000000001
1.01,Very Good,G,VVS1,61.8,59.0,6.47,6.41,3.98,8373,165.061346
0.31,Ideal,H,SI1,61.5,55.0,4.39,4.42,2.71,464,52.58429799999999
0.9,Ideal,E,SI2,62.6,57.0,6.13,6.2,3.86,3808,146.70316
0.71,Ideal,I,SI1,62.2,55.0,5.7,5.75,3.56,2376,116.679
0.44,Good,E,VS2,59.0,64.0,5.01,4.94,2.93,1001,72.515742
0.33,Premium,I,VVS2,62.1,56.0,4.45,4.41,2.75,743,53.967375000000004
0.56,Ideal,G,IF,62.0,56.0,5.3,5.32,3.29,2442,92.76484
0.24,Very Good,E,VVS2,60.0,57.0,4.07,4.1,2.45,552,40.88315000000001
0.36,Very Good,F,SI1,60.7,54.0,4.64,4.67,2.83,641,61.322703999999995
0.41,Ideal,D,VS2,62.8,55.0,4.73,4.7,2.96,1076,65.80376000000001
0.31,Ideal,F,IF,62.2,55.0,4.35,4.38,2.71,921,51.63362999999999
0.52,Very Good,G,VS1,62.3,58.0,5.14,5.17,3.21,1629,85.301898
0.43,Ideal,D,SI1,61.6,56.0,4.86,4.82,2.98,1036,69.80709600000002
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,14344,248.51863999999998
0.41,Ideal,I,IF,61.8,57.0,4.78,4.81,2.93,953,67.365974
0.59,Ideal,E,VS2,61.4,58.0,5.38,5.4,3.31,1657,96.16212
0.4,Very Good,F,SI1,63.1,58.0,4.69,4.66,2.95,882,64.47343000000001
0.71,Premium,D,VS2,58.7,61.0,5.88,5.85,3.44,2968,118.32911999999999
1.09,Ideal,F,VVS2,62.5,55.0,6.6,6.52,4.1,9845,176.43119999999996
2.11,Premium,G,SI2,62.2,60.0,8.19,8.15,5.08,16336,339.08237999999994
0.34,Ideal,G,VVS1,60.5,55.0,4.53,4.56,2.75,844,56.806200000000004
0.71,Very Good,E,SI2,62.2,58.0,5.68,5.73,3.55,2313,115.53971999999999
0.43,Ideal,D,VS2,62.0,55.0,4.86,4.81,3.0,1129,70.1298
0.38,Ideal,H,SI1,61.2,56.0,4.68,4.63,2.85,834,61.75494
1.17,Very Good,G,SI1,63.3,61.0,6.65,6.59,4.19,5025,183.62046500000002
1.22,Ideal,G,VS2,62.0,55.0,6.83,6.91,4.26,7923,201.051978
0.5,Ideal,G,VVS1,62.2,54.0,5.1,5.13,3.18,1883,83.19833999999999
0.55,Ideal,F,VVS2,61.5,57.0,5.24,5.27,3.23,2294,89.195804
0.41,Ideal,H,VVS2,62.0,56.0,4.74,4.78,2.95,899,66.83874000000002
0.82,Premium,G,SI2,62.3,58.0,5.96,5.98,3.72,2456,132.58377600000003
0.39,Ideal,G,VS2,62.5,54.0,4.67,4.7,2.93,857,64.31057000000001
0.53,Very Good,J,VS2,60.9,59.0,5.2,5.27,3.19,1023,87.41875999999999
0.51,Very Good,G,VVS2,61.7,58.0,5.13,5.18,3.18,1875,84.503412
0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42,402,39.693808
0.36,Premium,E,VS2,61.3,60.0,4.59,4.54,2.8,1013,58.348079999999996
0.46,Good,D,VS2,63.2,56.0,4.89,4.92,3.1,1205,74.58228
0.7,Good,H,VVS1,62.7,56.0,5.6,5.66,3.53,2877,111.88687999999999
2.11,Premium,E,SI2,62.4,61.0,8.19,8.1,5.08,18034,337.00212
0.7,Premium,E,SI1,59.7,60.0,5.81,5.79,3.46,2394,116.39405399999998
2.43,Ideal,I,SI2,62.3,59.0,8.54,8.61,5.34,17856,392.6469959999999
0.3,Ideal,E,VS2,61.3,57.0,4.33,4.29,2.64,844,49.039848000000006
0.51,Very Good,G,VS1,62.7,56.0,5.08,5.13,3.2,1656,83.39328
1.03,Premium,J,SI1,61.1,61.0,6.49,6.44,3.95,3749,165.09262000000004
0.7,Very Good,F,VVS2,58.7,63.0,5.82,5.79,3.41,3234,114.90949800000001
0.41,Premium,E,VS1,59.9,58.0,4.83,4.88,2.91,1079,68.589864
0.72,Ideal,F,SI1,61.8,57.0,5.68,5.74,3.53,2440,115.089296
0.77,Good,H,SI1,63.0,65.0,5.82,5.74,3.64,2393,121.60075200000001
0.35,Ideal,I,VS1,60.9,57.0,4.59,4.54,2.78,709,57.931307999999994
0.38,Ideal,D,VS1,62.5,56.0,4.64,4.67,2.91,1067,63.056208
0.31,Premium,G,VS1,62.1,58.0,4.31,4.35,2.69,625,50.43346499999999
0.54,Ideal,G,VVS2,61.0,56.0,5.25,5.3,3.22,1985,89.5965
0.32,Ideal,G,VVS2,61.6,55.0,4.4,4.43,2.72,708,53.018240000000006
0.4,Ideal,D,SI1,61.8,55.0,4.74,4.78,2.94,772,66.61216800000001
0.35,Ideal,F,VVS2,62.1,56.0,4.52,4.56,2.82,745,58.12358399999999
0.31,Very Good,E,SI1,63.2,59.0,4.33,4.28,2.72,698,50.40812800000001
1.65,Ideal,J,SI1,62.5,56.0,7.59,7.54,4.73,8334,270.691278
1.69,Ideal,F,SI1,63.0,57.0,7.62,7.55,4.78,13872,274.99818
0.33,Ideal,E,VS1,61.1,56.0,4.45,4.48,2.73,850,54.42528000000001
0.52,Very Good,E,VS1,59.1,58.0,5.31,5.38,3.16,1875,90.274248
0.35,Very Good,H,SI2,63.2,61.0,4.49,4.47,2.83,551,56.798949
0.42,Very Good,F,VS1,60.9,58.0,4.84,4.88,2.96,910,69.912832
0.7,Good,F,SI1,64.1,56.0,5.63,5.6,3.6,2289,113.5008
0.9,Very Good,I,VS2,63.4,57.0,6.07,6.1,3.86,3489,142.92422
0.71,Very Good,J,SI2,60.9,55.0,5.76,5.87,3.54,1986,119.691648
0.84,Good,G,VS1,63.6,57.0,5.98,5.93,3.79,3316,134.398706
0.54,Premium,D,SI1,62.6,57.0,5.21,5.12,3.23,1650,86.160896
0.7,Ideal,H,SI2,59.9,57.0,5.77,5.74,3.45,2142,114.26331
0.57,Ideal,F,VVS1,62.5,56.0,5.27,5.32,3.31,2682,92.800484
0.56,Ideal,I,VS2,62.1,54.0,5.3,5.33,3.3,1237,93.22169999999998
0.71,Premium,F,VS1,61.8,58.0,5.71,5.67,3.57,2879,115.581249
0.59,Ideal,H,VS2,62.2,59.0,5.38,5.34,3.33,1648,95.668236
0.41,Ideal,G,SI2,61.3,56.0,4.78,4.81,2.94,605,67.59589199999999
1.04,Ideal,D,IF,61.8,57.0,6.49,6.52,4.02,14494,170.105496
